Borough,Stations,SquareMiles,FD_Score_raw,FD_Score_100
Manhattan,48,23,2.0869565217391304,65.21739130434781
Brooklyn,66,71,0.9295774647887324,29.049295774647888
Bronx,34,42,0.8095238095238095,25.297619047619047
Queens,50,109,0.45871559633027525,14.3348623853211
Staten Island,20,58,0.3448275862068966,10.775862068965518
